axiom,family,module,origin,primary_kernel,shape_class,arith_domain,primitive_steps,peak_bignum_bits,max_nat_literal_digits,note,law,law_note,pred_cpu_s,pred_rss_mb,decides
AnalyticNT.ChebyshevPsi.checkAll_1e7_sharp._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiSharpCertBelow1e7,AnalyticNT.ChebyshevPsi.checkAll_1e7_sharp,AnalyticNT.ChebyshevPsi.checkAllPsiLeMul,linear-fold-sieve,Nat (2^40 fixed point),10000000,,8,IsPrimePow + minFac per step,chebyshev_psi,exact,76047.03577961556,8000.0,1339
AnalyticNT.ChebyshevPsi.checkAll_psiSubTheta_1e6._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiSubThetaCertBelow1e6,AnalyticNT.ChebyshevPsi.checkAll_psiSubTheta_1e6,AnalyticNT.ChebyshevPsi.checkAllPsiSubThetaLeSqrt,linear-fold-sieve,Nat (2^40 fixed point),1000000,,7,IsPrimePow + minFac per step,chebyshev_psi,exact,7610.3829682363585,8000.0,134
AnalyticNT.ChebyshevPsi.checkFrom_2e6_4e6_rr14._native.native_decide.ax_1_1,AnalyticNT.Chebyshev,AnalyticNT.Chebyshev.PsiRR14Cert,AnalyticNT.ChebyshevPsi.checkFrom_2e6_4e6_rr14,AnalyticNT.ChebyshevPsi.checkPsiLeMulFrom,linear-fold-sieve,Nat (2^40 fixed point),4000000,,7,plus a `lower`-length seed sum,chebyshev_psi,exact,30441.531872945434,8000.0,536
AnalyticNT.LargeSieve.ceU_prime_fx_le._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareCEUpperCerts,AnalyticNT.LargeSieve.ceU_prime_fx_le,AnalyticNT.LargeSieve.ceUPrimeAux,linear-fold-rat,Rat with p^48,200000,,20,"exact fuel from the atom: 200,000 iterations",chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",1533.4353741968782,8000.0,27
AnalyticNT.LargeSieve.ce_prime_fx_ge._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareCECerts,AnalyticNT.LargeSieve.ce_prime_fx_ge,AnalyticNT.LargeSieve.cePrimeAux,linear-fold-rat,Rat with p^48,25000000,,20,"exact fuel from the atom: 25,000,000 iterations",chebyshev_psi,"proxy, LOWER BOUND: exact-Rat folds also suffer denominator growth",190089.19249766486,8000.0,3347
AnalyticNT.LargeSieve.g1215_cert._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.g1215_cert,AnalyticNT.LargeSieve.gFold1215,linear-fold-sieve,Nat + Rat Pade log (m^16),10000000,,2,"exact fuel from the atom: 10,000,000 iterations",rs62_loopE,proxy: same per-step work (one minFac / IsPrimePow / Squarefree decision),16082.7708541843,8000.0,268
AnalyticNT.LargeSieve.gFold_cert._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.gFold_cert,AnalyticNT.LargeSieve.gFold,linear-fold-sieve,Nat + one Rat compare/step,99999,,5,"exact fuel from the atom: 99,999 iterations",rs62_loopE,proxy: same per-step work (one minFac / IsPrimePow / Squarefree decision),180.03101702445113,8000.0,3
AnalyticNT.LargeSieve.gSum_1e5_le._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.RamareGUpperCerts,AnalyticNT.LargeSieve.gSum_1e5_le,AnalyticNT.LargeSieve.gSum,linear-fold-sieve,Nat,100000,,15,"exact fuel from the atom: 100,000 iterations",rs62_loopE,proxy: same per-step work (one minFac / IsPrimePow / Squarefree decision),180.03101702445113,8000.0,3
AnalyticNT.LargeSieve.uIv7_cert_0._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_0,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,9487,,12,"exact fuel from the atom: 9,487 iterations",cdem_rangeSweep,proxy: cheapest measured fold engine,10.982975980377555,1897.1499849015306,1
AnalyticNT.LargeSieve.uIv7_cert_1._native.native_decide.ax_1_1,AnalyticNT.LargeSieve,AnalyticNT.LargeSieve.GBounds1215Certs,AnalyticNT.LargeSieve.uIv7_cert_1,AnalyticNT.LargeSieve.uFold,linear-fold-nat,Nat,37947,,12,"exact fuel from the atom: 37,947 iterations",cdem_rangeSweep,proxy: cheapest measured fold engine,103.52396038269605,8000.0,2
